"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HORVU.MOREX.r3.1HG0000030",6.08402953785559,-3.3326284073151e-07,0.00144269356946066,0.745775620571871,NA
"HORVU.MOREX.r3.1HG0000040",4633.61726561809,1.80312903385351e-06,0.00144262308733206,0.804574213208835,0.999875898879627
"HORVU.MOREX.r3.1HG0000050",974.371619964083,-6.40047246909244e-06,0.00144266147138217,0.236901767332978,0.999875898879627
"HORVU.MOREX.r3.1HG0000060",878.554678509474,-4.98465017801307e-06,0.00144266804890896,0.293537892381371,0.999875898879627
"HORVU.MOREX.r3.1HG0000070",4858.15464250123,-7.25037720792825e-05,0.00144355724725118,0.24946697686441,0.999875898879627
"HORVU.MOREX.r3.1HG0000080",326.761123518464,4.16749608452109e-06,0.00144263242251089,0.545640465908744,0.999875898879627
"HORVU.MOREX.r3.1HG0000090",1762.56848742848,2.6029567887322e-06,0.00144261057692735,0.741739931491316,0.999875898879627
"HORVU.MOREX.r3.1HG0000110",2505.14281843966,1.57617523970238e-06,0.00144267821402257,0.658355263056937,0.999875898879627
"HORVU.MOREX.r3.1HG0000130",3654.02927744325,3.27659601844408e-06,0.00144263928239988,0.612887166826013,0.999875898879627
"HORVU.MOREX.r3.1HG0000140",247.174686642522,-1.41112254459393e-06,0.0014426693556923,0.743147979410929,0.999875898879627
"HORVU.MOREX.r3.1HG0000210",0.111865841940678,1.50478995105116e-07,0.00144269498746851,0.840823533975817,NA
"HORVU.MOREX.r3.1HG0000220",2.07872119061958,4.68851810971503e-09,0.00144269409871496,0.798996070074432,NA
"HORVU.MOREX.r3.1HG0000230",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000240",1.4344177640869,-1.81490721772066e-07,0.00144269468376966,0.721815211686006,NA
"HORVU.MOREX.r3.1HG0000250",0.725973708660913,1.77086332798214e-07,0.00144269477035494,0.677393879010358,NA
"HORVU.MOREX.r3.1HG0000260",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000270",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000280",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000290",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000340",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000350",667.882162446406,-8.08419411340467e-06,0.0014426215259496,0.300906090664845,0.999875898879627
"HORVU.MOREX.r3.1HG0000360",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000370",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000380",0.251935113057451,-2.08644518371658e-07,0.00144269499840073,0.671506307777499,NA
"HORVU.MOREX.r3.1HG0000390",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000400",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000410",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000420",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000430",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000440",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000450",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000460",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000470",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000480",0.265671388634063,2.05394970631455e-07,0.00144269499642932,0.665612074639428,NA
"HORVU.MOREX.r3.1HG0000490",988.533330477731,-1.73867531516722e-06,0.00144267645309111,0.637671962787516,0.999875898879627
"HORVU.MOREX.r3.1HG0000520",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000530",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000540",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0000580",0.111865841940678,1.50478995105116e-07,0.00144269498746851,0.840823533975817,NA
