logFC	logCPM	LR	PValue	FDR
HORVU.MOREX.r3.5HG0527250	-1.3757214541027	5.56338081518708	38.5977337344332	5.20793595038641e-10	1.82829799474265e-05
HORVU.MOREX.r3.3HG0303730	5.55441946495187	-0.841385509954486	32.3814627561802	1.26689261503007e-08	0.000222377660716228
HORVU.MOREX.r3.1HG0019140	2.30409491065557	2.08900898995319	31.3267040630058	2.18059564368349e-08	0.000255173302223843
HORVU.MOREX.r3.7HG0687560	-1.25436363092124	3.23912756105489	24.3914932236047	7.86150709341609e-07	0.00689965170053663
HORVU.MOREX.r3.2HG0209020	-2.11513477821384	5.13765872099372	20.9330576574405	4.75615626518892e-06	0.0333939243691445
HORVU.MOREX.r3.3HG0281620	6.69325755286012	-1.8039612279799	18.6210328109004	1.59451630050205e-05	0.0852748294593563
HORVU.MOREX.r3.6HG0622920	-0.984539048592989	7.60932966860387	18.4985378203468	1.70034696694438e-05	0.0852748294593563
HORVU.MOREX.r3.6HG0544330	-1.75577182074937	7.65508982769768	17.6391793990798	2.67030168943222e-05	0.117179513886509
HORVU.MOREX.r3.2HG0185880	-1.68816883204159	2.47789709028335	17.3932526661872	3.03902887238117e-05	0.118542386215348
HORVU.MOREX.r3.7HG0653750	1.9591525017664	-0.806581004821939	16.9442805181245	3.84931159309266e-05	0.126915686552981
HORVU.MOREX.r3.1HG0038080	5.23546668300643	-2.82063119472994	16.882460924699	3.9767348945559e-05	0.126915686552981
HORVU.MOREX.r3.7HG0715810	1.23125779957889	6.34571058603072	16.3175670063746	5.35650770232429e-05	0.133393961973672
HORVU.MOREX.r3.1HG0002010	-2.47924496384497	0.820476688586823	16.139853868884	5.88328857308717e-05	0.133393961973672
HORVU.MOREX.r3.1HG0002020	-1.94576844296804	3.24025711989226	16.1313532575713	5.90975322543554e-05	0.133393961973672
HORVU.MOREX.r3.4HG0341070	-1.94425171332566	9.0115260874783	16.0098878814745	6.30125266835546e-05	0.133393961973672
HORVU.MOREX.r3.7HG0748230	-4.9551481910023	-2.9614145595222	15.9829800386097	6.39145122413156e-05	0.133393961973672
HORVU.MOREX.r3.7HG0728340	-1.23280850745897	5.01267537674962	15.8404463668991	6.89135796155122e-05	0.133393961973672
HORVU.MOREX.r3.4HG0342080	-0.970838960378974	4.52950043445637	15.7964603787231	7.05343402050287e-05	0.133393961973672
HORVU.MOREX.r3.3HG0231800	-1.52530515427439	8.4890675018559	15.7524280798705	7.21952167008424e-05	0.133393961973672
HORVU.MOREX.r3.7HG0732240	-3.80116861253389	-2.70114879282097	15.4667743350859	8.39683796556988e-05	0.146983138940826
HORVU.MOREX.r3.3HG0304490	1.1767064937856	3.05082720685931	15.3797915477482	8.79236004602447e-05	0.146983138940826
HORVU.MOREX.r3.7HG0642480	5.21540143232064	-2.82625560570742	15.225289407988	9.54170507736147e-05	0.15225959020266
HORVU.MOREX.r3.2HG0132210	3.83875976372717	-2.15408693580822	14.9623763261976	0.000109676295899609	0.167404175819639
