logFC	logCPM	LR	PValue	FDR
HORVU.MOREX.r3.5HG0527250	-1.64091416023618	5.62522979942914	64.8659964258754	8.0168622290055e-16	2.81439965411467e-11
HORVU.MOREX.r3.1HG0087850	-1.52649845049552	5.16510143329358	56.8103483676387	4.79934165145761e-14	8.42428440080354e-10
HORVU.MOREX.r3.3HG0303730	5.5271093736378	-0.566404684645903	47.5964239343345	5.23639163874448e-12	6.12762549565879e-08
HORVU.MOREX.r3.3HG0318840	2.14307967574468	3.65303691397538	46.9233174717485	7.38191914187665e-12	6.47874133486804e-08
HORVU.MOREX.r3.2HG0185880	-2.18390037309497	2.582417514513	39.4336255536221	3.39401859025654e-10	2.38300833259092e-06
HORVU.MOREX.r3.7HG0674400	-2.03638290469406	3.50317361382138	38.8494276679138	4.57788122636739e-10	2.67851830554756e-06
HORVU.MOREX.r3.1HG0077120	-1.73494295548173	3.7335812583065	34.3287403609575	4.65457126713542e-09	2.33433398434366e-05
HORVU.MOREX.r3.3HG0318820	1.77968126420804	5.87842110282065	31.7337959585967	1.7681836714332e-08	7.75923199616674e-05
HORVU.MOREX.r3.5HG0423060	3.4525658486608	3.56052308899474	30.6927261404633	3.02296149448353e-08	0.000100418794271833
HORVU.MOREX.r3.4HG0341070	-2.02978537600963	9.27250396403218	30.6288644567015	3.12411276228245e-08	0.000100418794271833
HORVU.MOREX.r3.6HG0622920	-1.19303458853359	7.6972878662392	30.6150167007167	3.1464898791949e-08	0.000100418794271833
HORVU.MOREX.r3.2HG0209020	-2.20867779041344	5.36892888139147	29.6648763287136	5.13569815374325e-08	0.000138802498835537
HORVU.MOREX.r3.7HG0728340	-1.46390316046524	5.1566028747366	29.663270383097	5.13995466547592e-08	0.000138802498835537
HORVU.MOREX.r3.3HG0309470	-1.71087276359399	2.93904300094865	29.257164993397	6.33814243783845e-08	0.000151947398251721
HORVU.MOREX.r3.7HG0687560	-1.44495960418024	3.29368926812345	29.0954059925116	6.8900171851412e-08	0.000151947398251721
HORVU.MOREX.r3.2HG0118240	7.13981319067407	-1.5273815360705	29.0114595450454	7.19514028123871e-08	0.000151947398251721
HORVU.MOREX.r3.6HG0544330	-1.90736297524166	7.87752199076477	28.9680969683581	7.35801791796062e-08	0.000151947398251721
