	SRR8437484	SRR8437482	SRR8437483	SRR8437481	SRR8437478	SRR8437479
HORVU.MOREX.r3.1HG0000030	3	15	3	0	10	5
HORVU.MOREX.r3.1HG0000040	4488	4638	4882	4765	4536	5492
HORVU.MOREX.r3.1HG0000050	1277	1066	1042	728	987	1079
HORVU.MOREX.r3.1HG0000060	1032	1257	780	771	984	901
HORVU.MOREX.r3.1HG0000070	5183	3405	4170	5506	4600	5383
HORVU.MOREX.r3.1HG0000080	375	349	266	331	319	350
HORVU.MOREX.r3.1HG0000090	1913	1929	1613	2092	1711	2051
HORVU.MOREX.r3.1HG0000110	2579	2249	1521	4496	2058	2266
HORVU.MOREX.r3.1HG0000130	4844	3808	2378	4141	3713	4031
HORVU.MOREX.r3.1HG0000140	295	190	246	182	244	255
HORVU.MOREX.r3.1HG0000210	0	0	0	0	0	1
HORVU.MOREX.r3.1HG0000220	1	0	4	1	4	2
HORVU.MOREX.r3.1HG0000230	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000240	2	0	2	0	0	0
HORVU.MOREX.r3.1HG0000250	1	0	1	0	0	3
HORVU.MOREX.r3.1HG0000260	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000270	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000280	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000290	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000340	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000350	733	692	703	630	651	734
HORVU.MOREX.r3.1HG0000360	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000370	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000380	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000390	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000400	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000410	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000420	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000430	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000440	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000450	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000460	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000470	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000480	0	0	0	0	2	0
HORVU.MOREX.r3.1HG0000490	719	1684	832	1067	933	965
HORVU.MOREX.r3.1HG0000520	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000530	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000540	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000580	0	0	0	0	0	1
HORVU.MOREX.r3.1HG0000590	4	4	2	16	13	7
HORVU.MOREX.r3.1HG0000600	11	18	2	15	17	20
HORVU.MOREX.r3.1HG0000610	2651	2166	1973	3002	1986	2641
HORVU.MOREX.r3.1HG0000620	1579	1514	1090	1246	1236	1361
HORVU.MOREX.r3.1HG0000630	604	292	329	658	374	603
HORVU.MOREX.r3.1HG0000660	549	454	369	596	473	468
HORVU.MOREX.r3.1HG0000670	680	474	552	418	574	723
HORVU.MOREX.r3.1HG0000680	4	6	4	4	2	1
HORVU.MOREX.r3.1HG0000690	136	50	53	439	87	160
HORVU.MOREX.r3.1HG0000710	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000720	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000730	1519	608	642	1339	1164	1210
HORVU.MOREX.r3.1HG0000780	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000800	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000810	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000850	3657	5782	3408	5077	4730	4548
HORVU.MOREX.r3.1HG0000870	941	946	841	528	1015	835
HORVU.MOREX.r3.1HG0000880	2248	3105	2519	1687	2337	2627
HORVU.MOREX.r3.1HG0000950	211	109	89	114	173	114
HORVU.MOREX.r3.1HG0000990	2	6	2	0	2	3
HORVU.MOREX.r3.1HG0001010	4	0	0	0	0	0
HORVU.MOREX.r3.1HG0001020	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001030	15	6	14	6	25	21
HORVU.MOREX.r3.1HG0001050	2	0	0	0	0	0
HORVU.MOREX.r3.1HG0001070	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001100	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001110	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001120	750	783	600	919	812	966
HORVU.MOREX.r3.1HG0001130	1463	1182	1089	1227	1352	1551
HORVU.MOREX.r3.1HG0001140	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001150	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001180	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001190	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001210	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001220	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001230	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001250	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001260	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001270	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001280	827	271	627	1729	563	1315
HORVU.MOREX.r3.1HG0001330	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001350	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001400	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001410	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001420	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001430	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001450	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001460	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001470	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001480	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001490	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001510	3	1	0	0	0	3
HORVU.MOREX.r3.1HG0001530	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001540	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001550	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001560	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001570	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001580	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001590	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001600	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001610	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001620	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001630	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001640	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001650	0	1	2	4	3	1
HORVU.MOREX.r3.1HG0001660	6	2	2	3	17	10
HORVU.MOREX.r3.1HG0001670	110	53	69	62	109	60
HORVU.MOREX.r3.1HG0001690	0	0	0	0	1	0
HORVU.MOREX.r3.1HG0001700	7	4	5	7	1	8
HORVU.MOREX.r3.1HG0001720	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001730	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001750	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001760	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001770	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001780	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001790	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001800	0	0	1	0	1	0
HORVU.MOREX.r3.1HG0001810	2	1	0	0	0	2
HORVU.MOREX.r3.1HG0001820	7	4	4	4	4	1
HORVU.MOREX.r3.1HG0001840	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001850	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001880	0	0	0	0	0	2
HORVU.MOREX.r3.1HG0001890	6	3	3	8	7	5
HORVU.MOREX.r3.1HG0001910	12	7	3	1	5	8
HORVU.MOREX.r3.1HG0001920	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001930	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001940	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001950	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001980	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001990	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002010	211	29	46	26	13	16
HORVU.MOREX.r3.1HG0002020	1036	168	259	139	114	152
HORVU.MOREX.r3.1HG0002040	98	62	46	62	93	74
HORVU.MOREX.r3.1HG0002050	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002060	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002080	235	286	314	320	228	368
HORVU.MOREX.r3.1HG0002090	0	0	0	0	1	0
HORVU.MOREX.r3.1HG0002100	0	0	4	0	0	0
HORVU.MOREX.r3.1HG0002130	272	276	201	242	285	185
HORVU.MOREX.r3.1HG0002140	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002160	843	539	588	543	666	583
HORVU.MOREX.r3.1HG0002170	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002180	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002190	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002200	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002210	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002220	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002230	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002260	0	0	0	4	0	0
HORVU.MOREX.r3.1HG0002280	36	2	10	42	19	51
HORVU.MOREX.r3.1HG0002320	218	79	195	119	158	216
HORVU.MOREX.r3.1HG0002330	2584	1529	2069	2178	1776	2516
HORVU.MOREX.r3.1HG0002340	765	481	525	612	628	602
HORVU.MOREX.r3.1HG0002350	6412	7694	7311	4076	5644	6705
HORVU.MOREX.r3.1HG0002380	0	2	0	0	0	0
HORVU.MOREX.r3.1HG0002390	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002400	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002410	16	15	8	6	26	46
HORVU.MOREX.r3.1HG0002440	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002450	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002470	4	2	4	4	0	0
HORVU.MOREX.r3.1HG0002500	8	10	3	6	14	2
HORVU.MOREX.r3.1HG0002510	10717	10879	9578	13965	9594	12635
HORVU.MOREX.r3.1HG0002520	30	7	4	24	5	5
HORVU.MOREX.r3.1HG0002530	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002560	225	215	195	147	210	216
HORVU.MOREX.r3.1HG0002570	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002580	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002590	401	284	233	286	342	368
HORVU.MOREX.r3.1HG0002630	43	31	40	77	19	73
HORVU.MOREX.r3.1HG0002640	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002660	1342	1050	1008	1239	1081	1277
HORVU.MOREX.r3.1HG0002670	15	0	6	2	2	41
HORVU.MOREX.r3.1HG0002680	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002690	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002750	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002770	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002800	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002810	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002820	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002830	1747	1241	1157	1544	1571	1677
HORVU.MOREX.r3.1HG0002840	3954	2525	2789	3338	3572	4419
HORVU.MOREX.r3.1HG0002850	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002860	21	17	27	11	30	28
HORVU.MOREX.r3.1HG0002870	918	778	776	555	710	853
HORVU.MOREX.r3.1HG0002880	7646	8735	8544	9860	8392	10118
HORVU.MOREX.r3.1HG0002890	666	433	446	431	422	515
HORVU.MOREX.r3.1HG0002910	4	5	4	9	10	21
HORVU.MOREX.r3.1HG0002920	26	21	28	28	24	23
HORVU.MOREX.r3.1HG0002940	5	8	3	7	6	8
HORVU.MOREX.r3.1HG0002950	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002960	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002980	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0002990	0	1	0	1	1	2
HORVU.MOREX.r3.1HG0003000	0	0	3	1	1	2
HORVU.MOREX.r3.1HG0003010	15	9	8	21	5	13
HORVU.MOREX.r3.1HG0003030	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003040	3	3	0	5	4	12
HORVU.MOREX.r3.1HG0003050	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003060	0	4	0	4	0	2
HORVU.MOREX.r3.1HG0003070	2	2	6	4	4	10
HORVU.MOREX.r3.1HG0003080	0	0	2	0	0	2
HORVU.MOREX.r3.1HG0003090	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003100	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003110	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003120	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003130	519	351	337	383	331	404
HORVU.MOREX.r3.1HG0003140	11656	8642	8526	12241	8441	11584
HORVU.MOREX.r3.1HG0003150	514	435	436	506	405	537
HORVU.MOREX.r3.1HG0003160	0	0	0	0	2	0
HORVU.MOREX.r3.1HG0003170	0	0	0	1	0	0
HORVU.MOREX.r3.1HG0003180	73	12	54	54	32	64
HORVU.MOREX.r3.1HG0003200	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003210	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003220	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003230	0	0	0	0	0	1
HORVU.MOREX.r3.1HG0003240	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003260	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003270	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003280	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003290	128	79	80	124	69	75
HORVU.MOREX.r3.1HG0003300	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003310	16	8	8	10	15	12
HORVU.MOREX.r3.1HG0003380	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003390	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003410	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003430	1872	1947	1320	1713	1587	1616
HORVU.MOREX.r3.1HG0003440	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003450	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003470	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003490	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003520	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003550	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003580	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003590	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003600	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003610	176	94	113	116	84	162
HORVU.MOREX.r3.1HG0003620	52	98	32	88	56	92
HORVU.MOREX.r3.1HG0003630	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003650	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003660	20	11	6	6	9	6
HORVU.MOREX.r3.1HG0003690	3094	2567	1710	2695	2444	2565
HORVU.MOREX.r3.1HG0003700	0	0	0	2	0	0
HORVU.MOREX.r3.1HG0003710	129	75	159	166	81	147
HORVU.MOREX.r3.1HG0003720	13	12	2	13	12	10
HORVU.MOREX.r3.1HG0003780	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003800	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003810	1	1	0	0	0	2
HORVU.MOREX.r3.1HG0003820	0	0	0	4	0	4
HORVU.MOREX.r3.1HG0003860	539	542	569	457	459	644
HORVU.MOREX.r3.1HG0003870	0	0	0	4	0	0
HORVU.MOREX.r3.1HG0003890	14	2	2	2	8	7
HORVU.MOREX.r3.1HG0003900	985	1105	831	1023	1109	1046
HORVU.MOREX.r3.1HG0003910	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003920	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003950	3071	2437	2192	3852	2344	2741
HORVU.MOREX.r3.1HG0003970	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003980	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0003990	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004000	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004020	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004030	34	11	19	36	31	47
HORVU.MOREX.r3.1HG0004060	0	2	0	0	0	0
HORVU.MOREX.r3.1HG0004110	65	27	46	9	18	27
HORVU.MOREX.r3.1HG0004130	0	0	0	0	0	2
HORVU.MOREX.r3.1HG0004150	559	395	425	455	432	498
HORVU.MOREX.r3.1HG0004160	105	91	61	71	75	108
HORVU.MOREX.r3.1HG0004210	323	173	199	211	193	213
HORVU.MOREX.r3.1HG0004220	0	0	8	8	8	0
HORVU.MOREX.r3.1HG0004230	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004240	103	51	37	69	45	68
HORVU.MOREX.r3.1HG0004250	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004260	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004270	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004280	0	0	3	0	0	1
HORVU.MOREX.r3.1HG0004290	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004300	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004310	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004320	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004340	54	40	32	35	35	36
HORVU.MOREX.r3.1HG0004350	6	3	3	0	5	6
HORVU.MOREX.r3.1HG0004370	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004380	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004410	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004440	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004450	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004460	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004490	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004520	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004540	104	59	62	142	70	139
HORVU.MOREX.r3.1HG0004550	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004560	2751	3060	2418	2328	2181	2430
HORVU.MOREX.r3.1HG0004600	34	6	24	31	19	32
HORVU.MOREX.r3.1HG0004610	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004640	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004650	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004660	1176	2394	971	1582	1348	1597
HORVU.MOREX.r3.1HG0004670	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004690	6161	18389	9364	5191	9402	9579
HORVU.MOREX.r3.1HG0004700	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004730	604	400	419	940	288	361
HORVU.MOREX.r3.1HG0004780	0	0	0	0	0	1
HORVU.MOREX.r3.1HG0004840	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004870	553	449	363	534	415	398
HORVU.MOREX.r3.1HG0004880	918	532	677	643	583	682
HORVU.MOREX.r3.1HG0004890	382	347	271	237	339	341
HORVU.MOREX.r3.1HG0004910	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0004940	43	67	44	4	48	8
HORVU.MOREX.r3.1HG0004990	50	4	3	22	4	11
HORVU.MOREX.r3.1HG0005000	7718	8321	6669	5930	9058	11709
HORVU.MOREX.r3.1HG0005040	2885	2994	2408	2508	2675	3149
HORVU.MOREX.r3.1HG0005060	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005070	6	4	9	2	3	6
HORVU.MOREX.r3.1HG0005090	817	3275	1339	2558	2081	2712
HORVU.MOREX.r3.1HG0005110	22	20	33	57	17	46
HORVU.MOREX.r3.1HG0005130	9	5	4	2	6	8
HORVU.MOREX.r3.1HG0005170	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005190	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005200	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005210	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005220	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005230	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005240	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005250	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005260	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005270	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005340	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005350	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005360	12	19	7	14	25	7
HORVU.MOREX.r3.1HG0005370	140	92	67	132	92	154
HORVU.MOREX.r3.1HG0005380	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005390	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005400	876	674	650	791	663	750
HORVU.MOREX.r3.1HG0005410	625	628	522	464	596	670
HORVU.MOREX.r3.1HG0005420	139	159	128	431	154	199
HORVU.MOREX.r3.1HG0005430	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005440	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005450	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005480	55	60	71	60	63	126
HORVU.MOREX.r3.1HG0005490	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005580	1029	1864	1402	1296	1477	1692
HORVU.MOREX.r3.1HG0005590	613	1015	760	584	732	821
HORVU.MOREX.r3.1HG0005600	305	804	425	377	406	608
HORVU.MOREX.r3.1HG0005610	29	41	16	58	43	40
HORVU.MOREX.r3.1HG0005620	352	201	213	206	294	246
HORVU.MOREX.r3.1HG0005640	218	66	86	212	115	183
HORVU.MOREX.r3.1HG0005660	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005680	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005700	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005720	0	0	0	3	0	0
HORVU.MOREX.r3.1HG0005730	0	4	0	2	4	0
HORVU.MOREX.r3.1HG0005750	799	575	804	924	923	1142
HORVU.MOREX.r3.1HG0005760	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005770	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0005780	105	107	73	125	86	118
HORVU.MOREX.r3.1HG0005790	430	362	371	475	360	474
HORVU.MOREX.r3.1HG0005810	224	207	174	270	198	280
HORVU.MOREX.r3.1HG0005830	119	292	124	170	239	325
HORVU.MOREX.r3.1HG0005840	31	26	30	53	15	41
HORVU.MOREX.r3.1HG0006070	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006080	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006090	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006100	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006110	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006120	0	0	0	0	0	0
