	SRR8437484	SRR8437482	SRR8437483	SRR8437481	SRR8437478	SRR8437479
HORVU.MOREX.r3.1HG0019140	47.21129719342	36.4352694272749	40.5689894555805	212.195965218265	88.5871717418337	209.602302065026
HORVU.MOREX.r3.1HG0021710	1186.5178841818	2040.37508792739	2326.34176678143	590.37632989615	970.13756370935	705.357312166651
HORVU.MOREX.r3.1HG0027200	1149.105158104	1107.22735426219	1579.87236079875	664.88069101723	637.395503996121	665.259480467255
HORVU.MOREX.r3.1HG0031260	69.480777001637	4.04836326969721	92.7291187556125	0	2.16066272541058	0
HORVU.MOREX.r3.1HG0043530	75.7162313479377	275.28870233941	165.753299775657	31.1220748986788	69.1412072131385	39.1865173425917
HORVU.MOREX.r3.1HG0050070	6853.65510577686	6681.82357663525	7930.65788157376	2452.04226474439	4272.71053949942	4381.59942751584
HORVU.MOREX.r3.1HG0053480	3258.47028553831	3153.67498709413	4260.9030068204	2356.78985369086	1852.76828703957	2041.34415924199
HORVU.MOREX.r3.1HG0059470	13502.4309973181	16853.3362917495	20628.7515811705	2848.14139981849	8058.19163441875	7326.05611435104
HORVU.MOREX.r3.1HG0059670	508.634918819676	1017.15127151142	564.488510424791	178.244610783342	342.465041977577	276.128250111751
HORVU.MOREX.r3.1HG0065100	4.4538959616434	8.09672653939442	6.95468390667094	33.9513544349224	38.8919290573904	21.871544563307
HORVU.MOREX.r3.1HG0072060	3758.1974124347	1346.08078717432	3529.5020826355	961.9550423228	1269.38935117871	1243.03278268128
HORVU.MOREX.r3.1HG0073940	16666.4786884696	14472.8986891675	16104.729699881	10866.3196055327	9631.15409851765	10513.833734453
HORVU.MOREX.r3.1HG0074300	568.317124705697	671.016211952313	950.473467245029	280.09867408811	391.079953299315	327.161854092801
HORVU.MOREX.r3.1HG0077120	430.246349894752	816.757289661412	622.444209647049	163.155119923377	186.897325748015	214.158873849048
HORVU.MOREX.r3.1HG0079940	592.368162898572	293.506337053048	440.46331408916	223.513083363239	156.648047592267	212.336245135439
HORVU.MOREX.r3.1HG0087850	1468.89488814999	1820.75138054632	1584.50881673653	516.815061953818	628.752853094478	557.724386364329
HORVU.MOREX.r3.1HG0093760	11.5801295002728	5.06045408712151	10.4320258600064	96.19550423228	27.0082840676322	30.9846881313516
HORVU.MOREX.r3.1HG0094770	251.199732236688	219.623707381074	219.072543060135	125.431392773463	111.274130358645	107.535094102926
HORVU.MOREX.r3.2HG0105150	154.104800272861	34.4110877924263	92.7291187556125	22.6342362899482	15.124639077874	22.7828589201115
HORVU.MOREX.r3.2HG0109700	7206.40366593901	5074.62335856545	8357.21182784958	2390.74120812578	3693.65292908938	3777.39800895448
HORVU.MOREX.r3.2HG0118240	0	0	0	9.43093178747844	30.2492781557481	12.7584009952624
HORVU.MOREX.r3.2HG0126510	1031.52230471661	571.831311844731	908.745363805003	2259.65125627983	1356.89619155784	1744.25567892373
HORVU.MOREX.r3.2HG0126960	772.305559748965	654.822758873524	829.925612862732	166.927492638368	329.501065625113	310.75819567032
