	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HORVU.MOREX.r3.1HG0000030	6.11515453379354	-0.484855201201003	1.33378640177601	-0.363517877041925	0.716218061046731	NA
HORVU.MOREX.r3.1HG0000040	4791.64153399684	0.00503527133264563	0.192633576856998	0.0261391155934543	0.979146377979878	0.999457307108351
HORVU.MOREX.r3.1HG0000050	1026.72961531341	-0.323811976829186	0.223538237363854	-1.44857533390189	0.147456213717372	0.907328917532151
HORVU.MOREX.r3.1HG0000060	951.142721508363	-0.245935737127607	0.242986432863702	-1.01213773225585	0.311472203480533	0.999457307108351
HORVU.MOREX.r3.1HG0000070	4660.73059926899	0.224521581818878	0.192418224873999	1.16684156069884	0.243274359627918	0.999457307108351
HORVU.MOREX.r3.1HG0000080	328.555964002805	-0.0301678561315483	0.188336350691481	-0.160180740578154	0.872738700285767	0.999457307108351
HORVU.MOREX.r3.1HG0000090	1869.42304599691	0.0425334443039921	0.152660316260926	0.278614936387883	0.780540348863484	0.999457307108351
HORVU.MOREX.r3.1HG0000110	2477.50522739345	0.428538556448146	0.308466675975284	1.38925397725128	0.164755533294053	0.930970717950057
HORVU.MOREX.r3.1HG0000130	3752.57944510013	0.0849639725924017	0.216071272156514	0.393221975991593	0.694155539870724	0.999457307108351
HORVU.MOREX.r3.1HG0000140	234.64135487307	-0.149312753425643	0.27723553367777	-0.538577257557428	0.590178583516743	0.999457307108351
HORVU.MOREX.r3.1HG0000210	0.151885726134076	0.904916749943189	4.0804728567969	0.221767619023824	0.8244947880717	NA
HORVU.MOREX.r3.1HG0000220	2.10238041221454	0.380570985669364	1.73846886378356	0.218911591457036	0.826718916785967	NA
HORVU.MOREX.r3.1HG0000230	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000240	0.683297725591279	-2.92626564286974	3.55907871659193	-0.822197505558923	0.410964498224765	NA
HORVU.MOREX.r3.1HG0000250	0.797306041197869	0.438836414196498	2.97824851780292	0.147347144327711	0.882858022750988	NA
HORVU.MOREX.r3.1HG0000260	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000270	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000280	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000290	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000340	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000350	689.08571372104	-0.140429030048132	0.188405258802815	-0.745356212137927	0.45605640750771	0.999457307108351
HORVU.MOREX.r3.1HG0000360	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000370	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000380	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000390	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000400	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000410	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000420	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000430	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000440	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000450	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000460	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000470	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000480	0.360110454235096	1.92978660502416	4.02695703175619	0.479217083720053	0.631784202002604	NA
HORVU.MOREX.r3.1HG0000490	1033.81032472158	-0.193483556155074	0.342091004177839	-0.565590891874168	0.571671920879209	0.999457307108351
HORVU.MOREX.r3.1HG0000520	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000530	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000540	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000580	0.151885726134076	0.904916749943189	4.0804728567969	0.221767619023824	0.8244947880717	NA
HORVU.MOREX.r3.1HG0000590	7.57378451344462	1.82447794767031	0.901582714594829	2.02363900520235	0.0430073086481041	0.666382563177195
HORVU.MOREX.r3.1HG0000600	13.5121252969067	0.730560794829035	0.777885941660937	0.939161843276336	0.347647656313501	0.999457307108351
HORVU.MOREX.r3.1HG0000610	2370.67687766149	0.110293121993699	0.177727910851201	0.620572882815462	0.534880686264751	0.999457307108351
HORVU.MOREX.r3.1HG0000620	1325.49376499117	-0.164442432677583	0.169625923834074	-0.969441633452436	0.332324888265378	0.999457307108351
HORVU.MOREX.r3.1HG0000630	464.838575026304	0.373266231862297	0.294262636638268	1.26847987269667	0.204626633975767	0.964825431532861
HORVU.MOREX.r3.1HG0000660	479.302576006191	0.12291495636163	0.200166322471914	0.614064118497641	0.539172957912911	0.999457307108351
HORVU.MOREX.r3.1HG0000670	566.415874755901	-0.0442246585757672	0.264254319212035	-0.167356426595555	0.867089608116552	0.999457307108351
HORVU.MOREX.r3.1HG0000680	3.51941123480793	-1.05954221206316	1.20214872217577	-0.881373654122839	0.378115612551039	NA
HORVU.MOREX.r3.1HG0000690	147.833430552981	1.48543014082395	0.558156640745751	2.66131410501408	0.00778363078997407	0.318788661368472
HORVU.MOREX.r3.1HG0000710	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000720	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000730	1055.93230540346	0.416799365313753	0.309716382628141	1.34574529696151	0.178384672622344	0.942742889089455
HORVU.MOREX.r3.1HG0000780	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000800	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000810	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0000850	4517.07636342132	0.104698851747063	0.255934533592894	0.409084504061512	0.682477647749942	0.999457307108351
HORVU.MOREX.r3.1HG0000870	854.318835606585	-0.234508317424843	0.298708287996405	-0.785074692764018	0.432409776643429	0.999457307108351
HORVU.MOREX.r3.1HG0000880	2429.09619029831	-0.308969343106781	0.266966524884435	-1.1573336516274	0.247136069862261	0.999457307108351
HORVU.MOREX.r3.1HG0000950	133.288873016199	-0.0164345112228547	0.376696344706595	-0.0436280082188091	0.965200925618015	0.999457307108351
HORVU.MOREX.r3.1HG0000990	2.51115617565291	-1.05750800047349	1.55066488347368	-0.681970689956262	0.495257484491576	NA
HORVU.MOREX.r3.1HG0001010	0.593852794885786	-2.74086854853746	3.98152443140519	-0.688396767559237	0.491202958846455	NA
HORVU.MOREX.r3.1HG0001020	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001030	14.5777122007869	0.537156549701888	0.776494841005931	0.691770918923317	0.489081202123266	0.999457307108351
HORVU.MOREX.r3.1HG0001050	0.296926397442893	-1.75293686827788	4.05358507352127	-0.432441119770341	0.66542083768501	NA
HORVU.MOREX.r3.1HG0001070	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001100	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001110	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001120	796.713543569317	0.2836655520028	0.166909728013162	1.69951479389164	0.0892222295380635	0.822995883875598
HORVU.MOREX.r3.1HG0001130	1298.83472228967	0.0995775383707896	0.176343973489623	0.564677864518286	0.572292892904936	0.999457307108351
HORVU.MOREX.r3.1HG0001140	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001150	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001180	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001190	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001210	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001220	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001230	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001250	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001260	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001270	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001280	862.48808571348	0.98427562370228	0.43699649599759	2.25236502515962	0.024299214035889	0.536359544619412
HORVU.MOREX.r3.1HG0001330	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001350	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001400	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001410	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001420	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001430	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001450	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001460	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001470	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001480	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001490	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001510	1.06972857747062	-0.432795247374173	2.69858714032461	-0.160378459122915	0.872582957101027	NA
HORVU.MOREX.r3.1HG0001530	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001540	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001550	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001560	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001570	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001580	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001590	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001600	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001610	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001620	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001630	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001640	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001650	1.87583332437105	1.29644093668212	1.75984681598051	0.736678286376764	0.461318014454129	NA
HORVU.MOREX.r3.1HG0001660	6.66585683799817	1.618632954573	1.06853055607105	1.51482140157476	0.12981763912364	NA
HORVU.MOREX.r3.1HG0001670	77.0853577386448	-0.00949905728329459	0.430123560386583	-0.0220844849204659	0.982380562698783	0.999457307108351
HORVU.MOREX.r3.1HG0001690	0.180055227117548	0.904916749943189	4.0804728567969	0.221767619023824	0.8244947880717	NA
HORVU.MOREX.r3.1HG0001700	5.17531433443327	-0.0895948868057122	1.05340970716905	-0.0850522699724222	0.932219835788053	NA
HORVU.MOREX.r3.1HG0001720	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001730	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001750	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001760	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001770	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0001780	0	NA	NA	NA	NA	NA
