	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HORVU.MOREX.r3.1HG0019140	105.7668325169	2.03877853347947	0.409342906271595	4.98061283643391	6.33832327036193e-07	0.000434711463681131
HORVU.MOREX.r3.1HG0021710	1303.18432411046	-1.29333135287869	0.309281737641272	-4.18172557727541	2.89305025308432e-05	0.0085981453521666
HORVU.MOREX.r3.1HG0027200	967.290091440923	-0.962627781667783	0.209548039853941	-4.59382861485486	4.35186836528657e-06	0.00189274430950708
HORVU.MOREX.r3.1HG0031260	28.0698202920596	-6.36787666886592	1.40092907494673	-4.5454668496391	5.48136241863792e-06	0.00222144669657162
HORVU.MOREX.r3.1HG0043530	109.368005486236	-1.89257824855719	0.509377874951987	-3.71547006971117	0.000202826274165967	0.0354588051071325
HORVU.MOREX.r3.1HG0050070	5428.74813262425	-0.950688729546817	0.259807898997623	-3.65919871264389	0.000253005103891954	0.0413907065376268
HORVU.MOREX.r3.1HG0053480	2820.65842990421	-0.771549578892006	0.205041950581509	-3.76288645666828	0.000167963471610075	0.0315276276394828
HORVU.MOREX.r3.1HG0059470	11536.1513364711	-1.48356898238934	0.369056095063694	-4.0199010454855	5.82225912504882e-05	0.0142222636599823
HORVU.MOREX.r3.1HG0059670	481.185433938094	-1.39206186094992	0.352279315809686	-3.95158556996278	7.76351023221135e-05	0.0177485787770247
HORVU.MOREX.r3.1HG0065100	19.0366890772214	2.28776624105819	0.622044228437044	3.67781925540321	0.000235236550478648	0.0399498873155739
HORVU.MOREX.r3.1HG0072060	2018.02624307122	-1.3132906815493	0.364619260325965	-3.60181379440909	0.000316004684215248	0.0489508983382836
HORVU.MOREX.r3.1HG0073940	13042.5690860036	-0.607319298536381	0.152827113057919	-3.97389760484593	7.07059695987492e-05	0.0164292491654619
HORVU.MOREX.r3.1HG0074300	531.357880897211	-1.13295131824043	0.26748543794174	-4.2355626046723	2.27980172672304e-05	0.00700921110188367
HORVU.MOREX.r3.1HG0077120	405.609861453942	-1.72759202549299	0.289494225710281	-5.96762170732181	2.4073670889253e-09	4.76979665885733e-06
HORVU.MOREX.r3.1HG0079940	319.805865021954	-1.16219069844265	0.31395435066301	-3.70178242788586	0.000214090169721442	0.0367082298699303
HORVU.MOREX.r3.1HG0087850	1096.24123114091	-1.51723644972015	0.18566684921048	-8.17182203593139	3.03766403593846e-16	2.70838125444273e-12
HORVU.MOREX.r3.1HG0093760	30.2101809797774	2.50957519873198	0.685533962162422	3.66075984159248	0.000251468383891627	0.0413907065376268
HORVU.MOREX.r3.1HG0094770	172.356099985488	-1.00381562760224	0.228496041679353	-4.39314230664391	1.11723941881174e-05	0.0041505444408856
HORVU.MOREX.r3.2HG0105150	56.9644568514723	-2.21414643289481	0.568629430191914	-3.89383017362912	9.86737421755861e-05	0.0209470258389887
HORVU.MOREX.r3.2HG0109700	5083.33849975395	-1.06539716476582	0.271600543064334	-3.92266212999973	8.7575922637202e-05	0.0191022266973802
HORVU.MOREX.r3.2HG0118240	8.73976848974816	6.54454449682531	1.50330803066121	4.35342881388506	1.34024628499836e-05	0.00477985435081814
HORVU.MOREX.r3.2HG0126510	1312.15035118796	1.09355226652685	0.293827963896173	3.72174333588367	0.000197852075947382	0.0349316655276605
HORVU.MOREX.r3.2HG0126960	510.706780903171	-1.48406683870599	0.294246511137392	-5.04361745180738	4.56812146711539e-07	0.000339411425006673
HORVU.MOREX.r3.2HG0140380	295.183594814729	-1.0364605587199	0.222677171650909	-4.65454339587519	3.24699448208598e-06	0.00165429730298735
