# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "RNA_seq_workflow/annotation/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.60.chr.gff3" "-o" "RNA_seq_workflow/output/4_final_counts/gene_counts.txt" "-t" "gene" "-g" "gene_id" "-p" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437484.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437485.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437482.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437483.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437480.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437481.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437478.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437479.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437484.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437485.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437482.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437483.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437480.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437481.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437478.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437479.sorted.bam
HORVU.MOREX.r3.1HG0000030	1H	76744	77373	+	630	3	6	15	3	6	0	10	5
HORVU.MOREX.r3.1HG0000040	1H	78284	81892	-	3609	4488	4169	4638	4882	4195	4765	4536	5492
HORVU.MOREX.r3.1HG0000050	1H	84091	87063	-	2973	1277	830	1066	1042	821	728	987	1079
HORVU.MOREX.r3.1HG0000060	1H	132221	138736	+	6516	1032	746	1257	780	609	771	984	901
HORVU.MOREX.r3.1HG0000070	1H	146607	148562	+	1956	5183	5342	3405	4170	5448	5506	4600	5383
HORVU.MOREX.r3.1HG0000080	1H	152919	156330	+	3412	375	284	349	266	355	331	319	350
HORVU.MOREX.r3.1HG0000090	1H	156767	159868	-	3102	1913	1502	1929	1613	1424	2092	1711	2051
HORVU.MOREX.r3.1HG0000110	1H	173586	179073	-	5488	2579	3315	2249	1521	1910	4496	2058	2266
HORVU.MOREX.r3.1HG0000130	1H	376513	387660	-	11148	4844	3436	3808	2378	3313	4141	3713	4031
HORVU.MOREX.r3.1HG0000140	1H	409649	413586	-	3938	295	285	190	246	278	182	244	255
HORVU.MOREX.r3.1HG0000210	1H	539356	543436	+	4081	0	0	0	0	0	0	0	1
HORVU.MOREX.r3.1HG0000220	1H	579618	585987	+	6370	1	2	0	4	2	1	4	2
HORVU.MOREX.r3.1HG0000230	1H	592132	592473	-	342	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000240	1H	593582	596593	-	3012	2	3	0	2	4	0	0	0
HORVU.MOREX.r3.1HG0000250	1H	603056	607068	+	4013	1	0	0	1	1	0	0	3
HORVU.MOREX.r3.1HG0000260	1H	669249	670359	+	1111	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000270	1H	673211	673833	-	623	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000280	1H	710859	715963	-	5105	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000290	1H	781382	782035	+	654	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000340	1H	1141088	1148147	+	7060	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000350	1H	1155323	1159598	-	4276	733	663	692	703	556	630	651	734
HORVU.MOREX.r3.1HG0000360	1H	1166807	1169702	+	2896	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000370	1H	1178784	1179047	+	264	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000380	1H	1180899	1185074	-	4176	0	2	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000390	1H	1199200	1201478	-	2279	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000400	1H	1266246	1266853	+	608	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000410	1H	1308204	1310237	+	2034	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000420	1H	1317064	1321214	-	4151	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000430	1H	1335336	1337433	-	2098	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000440	1H	1402196	1402803	+	608	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000450	1H	1444203	1445966	+	1764	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000460	1H	1453026	1457443	-	4418	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000470	1H	1474564	1476642	-	2079	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000480	1H	1499093	1501176	+	2084	0	0	0	0	0	0	2	0
HORVU.MOREX.r3.1HG0000490	1H	1511418	1513470	+	2053	719	880	1684	832	846	1067	933	965
HORVU.MOREX.r3.1HG0000520	1H	1549952	1552881	+	2930	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000530	1H	1555790	1556539	+	750	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000540	1H	1560608	1565524	+	4917	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000580	1H	1585712	1593597	+	7886	0	0	0	0	0	0	0	1
HORVU.MOREX.r3.1HG0000590	1H	1596612	1596974	-	363	4	10	4	2	12	16	13	7
HORVU.MOREX.r3.1HG0000600	1H	1599491	1601784	+	2294	11	22	18	2	10	15	17	20
HORVU.MOREX.r3.1HG0000610	1H	1602945	1606151	-	3207	2651	3347	2166	1973	2721	3002	1986	2641
HORVU.MOREX.r3.1HG0000620	1H	1613941	1621779	+	7839	1579	1146	1514	1090	1058	1246	1236	1361
HORVU.MOREX.r3.1HG0000630	1H	1630936	1636720	-	5785	604	456	292	329	523	658	374	603
HORVU.MOREX.r3.1HG0000660	1H	1706754	1712567	+	5814	549	534	454	369	399	596	473	468
HORVU.MOREX.r3.1HG0000670	1H	1725335	1728063	+	2729	680	419	474	552	618	418	574	723
HORVU.MOREX.r3.1HG0000680	1H	1728977	1730259	-	1283	4	0	6	4	1	4	2	1
HORVU.MOREX.r3.1HG0000690	1H	1753936	1757170	-	3235	136	330	50	53	220	439	87	160
HORVU.MOREX.r3.1HG0000710	1H	1765837	1771516	+	5680	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000720	1H	1778343	1780152	-	1810	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000730	1H	1820956	1824583	-	3628	1519	1582	608	642	839	1339	1164	1210
HORVU.MOREX.r3.1HG0000780	1H	1842929	1845278	+	2350	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000800	1H	1917886	1918803	+	918	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000810	1H	2061272	2062303	+	1032	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0000850	1H	2083156	2086559	+	3404	3657	5181	5782	3408	4909	5077	4730	4548
HORVU.MOREX.r3.1HG0000870	1H	2100234	2101977	+	1744	941	519	946	841	562	528	1015	835
HORVU.MOREX.r3.1HG0000880	1H	2105889	2106453	+	565	2248	2339	3105	2519	2076	1687	2337	2627
HORVU.MOREX.r3.1HG0000950	1H	2262516	2269336	-	6821	211	171	109	89	176	114	173	114
HORVU.MOREX.r3.1HG0000990	1H	2301095	2305883	+	4789	2	4	6	2	2	0	2	3
HORVU.MOREX.r3.1HG0001010	1H	2321790	2326362	+	4573	4	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001020	1H	2358479	2362796	+	4318	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001030	1H	2389468	2394114	-	4647	15	17	6	14	25	6	25	21
HORVU.MOREX.r3.1HG0001050	1H	2497979	2499050	-	1072	2	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001070	1H	2511942	2512358	-	417	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001100	1H	2564005	2564421	-	417	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001110	1H	2574522	2575037	-	516	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001120	1H	2577003	2580483	-	3481	750	1041	783	600	870	919	812	966
HORVU.MOREX.r3.1HG0001130	1H	2582508	2586544	-	4037	1463	1301	1182	1089	1271	1227	1352	1551
HORVU.MOREX.r3.1HG0001140	1H	2588537	2589323	-	787	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001150	1H	2603983	2605311	-	1329	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001180	1H	2624873	2625124	-	252	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001190	1H	2658716	2659869	+	1154	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001210	1H	2703911	2705205	+	1295	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001220	1H	2765170	2765589	+	420	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001230	1H	2775507	2776400	+	894	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001250	1H	2784441	2787658	+	3218	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001260	1H	2823369	2823862	-	494	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001270	1H	2832554	2834879	+	2326	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001280	1H	2874081	2875407	+	1327	827	2878	271	627	1198	1729	563	1315
HORVU.MOREX.r3.1HG0001330	1H	2971082	2971501	+	420	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001350	1H	3019654	3020250	-	597	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001400	1H	3192134	3199174	-	7041	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001410	1H	3203351	3207774	-	4424	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001420	1H	3260544	3261440	+	897	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001430	1H	3303582	3303986	+	405	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001450	1H	3324899	3325726	-	828	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001460	1H	3335272	3339572	-	4301	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001470	1H	3576852	3580707	-	3856	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001480	1H	3588727	3589029	-	303	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001490	1H	3599276	3599769	+	494	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001510	1H	3636585	3640287	-	3703	3	0	1	0	2	0	0	3
HORVU.MOREX.r3.1HG0001530	1H	3662978	3664675	+	1698	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0001540	1H	3668497	3669875	+	1379	0	0	0	0	0	0	0	0
